Bus,Subway,평균매매가,평균조절가,유흥업소,살인,강도,강간,절도,폭력,방화,마약,약취,도박,전체범죄,112신고,총_생활인구,아파트_단지수,아파트_평균_시가,매출액,매출건수,생활인구_야간비율,생활인구_심야비율,생활인구_여성비율,상권타입_골목상권,상권타입_관광특구,상권타입_발달상권,상권타입_전통시장,개업율_요식업,폐업율_요식업,프랜차이즈비율_요식업,개업율_비요식업,폐업율_비요식업,프랜차이즈비율_비요식업,요식업비율
5,1,1622.9830272258994,10.386544769838016,0,2,3,4,2,4,1,5,1,3,3,68076,1156232.0,4.0,247773611.0,9467129111.0,297465.0,0.12868005728954052,0.23852392945360446,0.5401035432335379,1,0,0,0,0.14285714285714285,0.0,0.5714285714285714,0.05263157894736842,0.08771929824561403,0.22807017543859648,0.19718309859154928
12,1,894.0074595590064,10.824554525632212,1,1,1,1,1,1,1,1,1,1,1,132570,2314787.0,4.0,329180598.0,20437231058.0,1460243.0,0.12768431825476814,0.22950491773109147,0.48224912270545844,1,0,0,0,0.15555555555555556,0.13333333333333333,1.3555555555555556,0.10294117647058823,0.07352941176470588,0.21323529411764705,0.24861878453038674
3,2,889.2272784222699,9.62066097005427,0,1,3,2,2,2,2,5,5,2,2,96374,849036.0,1.0,382479542.0,18493190088.0,658414.0,0.1313477873729736,0.24699306036493152,0.5247892904423369,1,0,0,0,0.0,0.0,8.0,0.13043478260869565,0.08695652173913043,0.34782608695652173,0.17857142857142858
3,1,627.5436234400931,9.96038783428899,0,3,3,1,3,3,2,1,1,1,2,129382,1422623.0,31.0,145238605.0,4164189425.0,117456.0,0.14175083630729995,0.2373123448728159,0.5456189025483209,1,0,0,0,0.2857142857142857,0.21428571428571427,0.5714285714285714,0.05555555555555555,0.07407407407407407,0.0,0.20588235294117646
14,2,2182.114575501848,11.589831705657929,3,5,3,5,5,5,2,5,3,1,5,72970,6459047.0,130.0,492810131.0,23329024737.0,937692.0,0.12722155451106024,0.26690795097171455,0.49116951773225986,1,0,0,0,0.19,0.18,0.16,0.06808510638297872,0.04680851063829787,0.06808510638297872,0.29850746268656714
5,1,426.09209763863635,8.943799829547707,0,2,5,2,3,4,3,1,1,1,4,71472,187514.0,5.0,135903898.0,1065192991.0,55550.0,0.12260417888797637,0.19051910790660964,0.5235022451656943,1,0,0,0,0.5,0.25,0.0,0.2,0.2,0.0,0.2857142857142857
4,3,990.3688609000035,9.981161848504637,0,1,1,1,1,1,2,1,1,2,1,139303,3298510.0,53.0,191919045.0,12517807942.0,495850.0,0.12861170649778234,0.24916583548329396,0.5341002452622547,1,0,0,0,0.20588235294117646,0.14705882352941177,0.38235294117647056,0.09420289855072464,0.10144927536231885,0.2246376811594203,0.19767441860465115
3,3,1069.58774101442,10.271196768230404,0,5,2,5,5,5,1,5,1,1,5,72815,478027.0,3.0,109728496.0,1791624320.0,131622.0,0.10634545747415941,0.2018128683107858,0.5405092180985593,1,0,0,0,0.2857142857142857,0.2857142857142857,3.0,0.11764705882352941,0.058823529411764705,0.47058823529411764,0.2916666666666667
4,7,732.19245416146,9.35454678146775,2,5,5,2,5,5,5,5,5,5,5,45935,3987965.0,18.0,142826451.0,9674407908.0,837294.0,0.12141530830887433,0.26785490845581644,0.5193375568742454,1,0,0,0,0.3,0.2,0.9333333333333333,0.034482758620689655,0.0603448275862069,0.25862068965517243,0.2054794520547945
12,2,1785.3379767535748,10.435035020020687,1,5,5,5,5,5,1,5,1,5,5,29406,22669.0,,,64165695.0,16948.0,0.11310600379372712,0.2748246504036349,0.5659711500286735,1,0,0,0,,,,0.0,0.0,0.0,
